route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
1.104.1,1.104.H2127,1.104.11429073,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429075,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429077,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429079,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429081,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429083,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429085,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429087,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429089,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429091,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429093,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429095,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429097,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429099,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429101,"La Sagrera",1,1.104.10400.2,1
1.91.1,1.91.H2741,1.91.11427108,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11427110,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11427112,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11427114,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11427116,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11427118,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11427120,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11427122,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11427124,"Aeroport T1",1,1.91.9100.2,1
1.101.1,1.101.H2771,1.101.11427162,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427172,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427174,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427176,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427186,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427188,"Collblanc",0,1.101.10501.1,1
1.91.1,1.91.H2741,1.91.11427106,"Aeroport T1",1,1.91.9100.2,1
1.101.1,1.101.H2771,1.101.11427190,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427200,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427202,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427204,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427214,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2737,1.101.11428353,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2737,1.101.11428355,"Collblanc",0,1.101.10501.1,1
1.91.1,1.91.H2736,1.91.11428377,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428379,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428381,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428383,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428385,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428387,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428389,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428391,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428425,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428427,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428429,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426574,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426576,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426578,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426580,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426582,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426584,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426586,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426588,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426590,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426593,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426595,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426597,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426599,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426601,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426603,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426605,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426607,"Aeroport T1",1,1.91.9100.2,1
1.104.1,1.104.H2127,1.104.11429185,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429189,"La Sagrera",1,1.104.10400.2,1
1.101.1,1.101.H2771,1.101.11427287,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427297,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427299,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427327,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427329,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427331,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427341,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427348,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427350,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427352,"Collblanc",0,1.101.10501.1,1
1.91.1,1.91.H2736,1.91.11428559,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428561,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428563,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428565,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426693,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426695,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426697,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426699,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426701,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426703,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426705,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426707,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426709,"Zona Universitària",0,1.91.9100.1,1
1.101.1,1.101.H2771,1.101.11427362,"Collblanc",0,1.101.10501.1,1
