stop_id,line,door_seconds
1.111,L1,24
1.118,L1,30
1.119,L1,18
1.122,L1,34
1.125,L1,22
1.128,L1,26
1.129,L1,22
1.131,L1,28
1.133,L1,37
1.134,L1,29
1.136,L1,23
1.140,L1,24
1.210,L2,17
1.216,L2,30
1.221,L2,16
1.222,L2,16
1.226,L2,17
1.227,L2,17
1.314,L3,16
1.321,L3,19
1.326,L3,20
1.327,L3,16
1.332,L3,14
1.333,L3,14
1.334,L3,14
1.337,L3,17
1.339,L3,16
1.413,L4,15
1.417,L4,14
1.418,L4,16
1.423,L4,14
1.424,L4,16
1.428,L4,16
1.429,L4,14
1.434,L4,15
1.509,L5,23
1.513,L5,20
1.514,L5,24
1.555,L5,20
1.520,L5,21
1.521,L5,28
1.526,L5,27
1.531,L5,25
1.533,L5,22
1.534,L5,23
1.901,L9S,26
1.905,L9S,26
1.909,L9S,24
1.912,L9S,26
1.918,L9S,26
1.930,L9N,25
1.945,L9N,25
1.951,L10S,37
1.954,L10S,41
1.956,L10S,40
1.916,L10S,37
1.930,L10N,25
1.932,L10N,25
1.936,L10N,25
1.1136,L11,36
1.1140,L11,36
1.9901,FM,21
1.9902,FM,21
