pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time,signposted_as
PW.E.1011101_1.111,E.1011101,1.111,1,0,60,"Accés per Residència sanitària"
PW.E.11101_1.111,E.11101,1.111,1,0,60,"Accés per Residència sanitària"
PW.1.111_E.1011101,1.111,E.1011101,1,0,60,"Sortida per Residència sanitària"
PW.1.111_E.11101,1.111,E.11101,1,0,60,"Sortida per Residència sanitària"
PW.1.112_E.11201,1.112,E.11201,1,0,60,"Sortida per Rambla de la Marina / Avda. Granvia"
PW.E.11201_1.112,E.11201,1.112,1,0,60,"Accés per Rambla de la Marina / Avda. Granvia"
PW.E.1011201_1.112,E.1011201,1.112,1,0,60,"Accés per Rambla de la Marina / Avda. Granvia"
PW.1.112_E.1011201,1.112,E.1011201,1,0,60,"Sortida per Rambla de la Marina / Avda. Granvia"
PW.1.112_E.11202,1.112,E.11202,1,0,60,"Sortida per Rambla de la Marina / Merca 2"
PW.E.11202_1.112,E.11202,1.112,1,0,60,"Accés per Rambla de la Marina / Merca 2"
PW.E.11211_1.112,E.11211,1.112,1,0,60,"Accés per Rambla de la Marina / Trav. Industrial"
PW.1.112_E.11211,1.112,E.11211,1,0,60,"Sortida per Rambla de la Marina / Trav. Industrial"
PW.1.112_E.11212,1.112,E.11212,1,0,60,"Sortida per Rambla de la Marina / Mercat Municipal"
PW.E.11212_1.112,E.11212,1.112,1,0,60,"Accés per Rambla de la Marina / Mercat Municipal"
PW.1.113_E.11301,1.113,E.11301,1,0,60,"Sortida per Prat de la Riba"
PW.E.11301_1.113,E.11301,1.113,1,0,60,"Accés per Prat de la Riba"
PW.1.113_E.11311,1.113,E.11311,1,0,60,"Sortida per Avinguda Carrilet"
PW.E.11311_1.113,E.11311,1.113,1,0,60,"Accés per Avinguda Carrilet"
PW.1.114_E.11401,1.114,E.11401,1,0,60,"Sortida per Avinguda Can Serra"
PW.E.11401_1.114,E.11401,1.114,1,0,60,"Accés per Avinguda Can Serra"
PW.1.114_E.11402,1.114,E.11402,1,0,60,"Sortida per Rambla Just Oliveras"
PW.E.11402_1.114,E.11402,1.114,1,0,60,"Accés per Rambla Just Oliveras"
PW.E.1011403_1.114,E.1011403,1.114,1,0,60,"Accés per Renfe"
PW.1.114_E.1011403,1.114,E.1011403,1,0,60,"Sortida per Renfe"
PW.1.114_E.11403,1.114,E.11403,1,0,60,"Sortida per Renfe"
PW.E.11403_1.114,E.11403,1.114,1,0,60,"Accés per Renfe"
PW.1.115_E.11501,1.115,E.11501,1,0,60,"Sortida per Parc de les Planes"
PW.E.11501_1.115,E.11501,1.115,1,0,60,"Accés per Parc de les Planes"
PW.E.1011502_1.115,E.1011502,1.115,1,0,60,"Accés per Avinguda Can Serra"
PW.1.115_E.11502,1.115,E.11502,1,0,60,"Sortida per Avinguda Can Serra"
PW.E.11502_1.115,E.11502,1.115,1,0,60,"Accés per Avinguda Can Serra"
PW.1.115_E.1011502,1.115,E.1011502,1,0,60,"Sortida per Avinguda Can Serra"
PW.E.1011601_1.116,E.1011601,1.116,1,0,60,"Accés per Avinguda Masnou"
PW.1.116_E.11601,1.116,E.11601,1,0,60,"Sortida per Avinguda Masnou"
PW.E.11601_1.116,E.11601,1.116,1,0,60,"Accés per Avinguda Masnou"
PW.1.116_E.1011601,1.116,E.1011601,1,0,60,"Sortida per Avinguda Masnou"
PW.E.11602_1.116,E.11602,1.116,1,0,60,"Accés per Blocs Florida"
PW.1.116_E.11602,1.116,E.11602,1,0,60,"Sortida per Blocs Florida"
PW.1.117_1.915,1.117,1.915,2,0,45,"Correspondència L1 - L9SL10S"
PW.E.11711_1.117,E.11711,1.117,1,0,60,"Accés per Av. Catalunya"
PW.1.117_E.1011711,1.117,E.1011711,1,0,60,"Sortida per Av. Catalunya"
PW.1.117_E.11711,1.117,E.11711,1,0,60,"Sortida per Av. Catalunya"
PW.E.1011711_1.117,E.1011711,1.117,1,0,60,"Accés per Av. Catalunya"
PW.E.11712_1.117,E.11712,1.117,1,0,60,"Accés per Rosalía de Castro"
PW.1.117_E.11712,1.117,E.11712,1,0,60,"Sortida per Rosalía de Castro"
PW.E.11801_1.118,E.11801,1.118,1,0,60,"Accés per Pont de la Torrassa"
PW.1.118_E.11801,1.118,E.11801,1,0,60,"Sortida per Pont de la Torrassa"
PW.E.11811_1.118,E.11811,1.118,1,0,60,"Accés per Riera Blanca"
PW.1.118_E.11811,1.118,E.11811,1,0,60,"Sortida per Riera Blanca"
PW.E.11901_1.119,E.11901,1.119,1,0,60,"Accés per Riera de Tena"
PW.1.119_E.11901,1.119,E.11901,1,0,60,"Sortida per Riera de Tena"
PW.1.120_1.517,1.120,1.517,2,0,210,"Correspondència L1 - L5"
PW.1.120_E.12001,1.120,E.12001,1,0,60,"Sortida per Alcolea (escala mecànica)"
PW.1.120_E.12002,1.120,E.12002,1,0,60,"Sortida per Alcolea"
PW.E.12002_1.120,E.12002,1.120,1,0,60,"Accés per Alcolea"
PW.1.120_E.12003,1.120,E.12003,1,0,60,"Sortida per Olzinelles"
PW.E.12003_1.120,E.12003,1.120,1,0,60,"Accés per Olzinelles"
PW.1.120_E.12011,1.120,E.12011,1,0,60,"Sortida per Cros"
PW.E.12011_1.120,E.12011,1.120,1,0,60,"Accés per Cros"
PW.E.12012_1.120,E.12012,1.120,1,0,60,"Accés per Riego"
PW.1.120_E.12012,1.120,E.12012,1,0,60,"Sortida per Riego"
PW.E.12101_1.121,E.12101,1.121,1,0,60,"Accés per Consell de Cent / Mercat"
PW.1.121_E.1012101,1.121,E.1012101,1,0,60,"Sortida per Consell de Cent / Mercat"
PW.E.1012101_1.121,E.1012101,1.121,1,0,60,"Accés per Consell de Cent / Mercat"
PW.1.121_E.12101,1.121,E.12101,1,0,60,"Sortida per Consell de Cent / Mercat"
PW.1.121_E.12111,1.121,E.12111,1,0,60,"Sortida per Hostafrancs"
PW.E.12111_1.121,E.12111,1.121,1,0,60,"Accés per Hostafrancs"
PW.E.12121_1.121,E.12121,1.121,1,0,60,"Accés per Moianès"
PW.1.121_E.12121,1.121,E.12121,1,0,60,"Sortida per Moianès"
PW.E.12131_1.121,E.12131,1.121,1,0,60,"Accés per Consell de Cent"
PW.1.121_E.12131,1.121,E.12131,1,0,60,"Sortida per Consell de Cent"
PW.1.122_1.321,1.122,1.321,2,0,180,"Correspondència L1 - L3"
PW.E.12201_1.122,E.12201,1.122,1,0,60,"Accés per Creu Coberta"
PW.1.122_E.1012201,1.122,E.1012201,1,0,60,"Sortida per Creu Coberta"
PW.1.122_E.12201,1.122,E.12201,1,0,60,"Sortida per Creu Coberta"
PW.E.1012201_1.122,E.1012201,1.122,1,0,60,"Accés per Creu Coberta"
PW.E.12202_1.122,E.12202,1.122,1,0,60,"Accés per Tarragona"
PW.1.122_E.12202,1.122,E.12202,1,0,60,"Sortida per Tarragona"
PW.1.122_E.12211,1.122,E.12211,1,0,60,"Sortida per Exposició / Paral·lel"
PW.E.12211_1.122,E.12211,1.122,1,0,60,"Accés per Exposició / Paral·lel"
PW.1.122_E.12212,1.122,E.12212,1,0,60,"Sortida per Exposició / Gran Via"
PW.E.12212_1.122,E.12212,1.122,1,0,60,"Accés per Exposició / Gran Via"
PW.1.123_E.12301,1.123,E.12301,1,0,60,"Sortida per Rocafort / Diputació"
PW.E.12301_1.123,E.12301,1.123,1,0,60,"Accés per Rocafort / Diputació"
PW.E.1012301_1.123,E.1012301,1.123,1,0,60,"Accés per Rocafort / Diputació"
PW.1.123_E.1012301,1.123,E.1012301,1,0,60,"Sortida per Rocafort / Diputació"
PW.E.12302_1.123,E.12302,1.123,1,0,60,"Accés per Rocafort / Sepúlveda"
PW.1.123_E.12302,1.123,E.12302,1,0,60,"Sortida per Rocafort / Sepúlveda"
PW.E.12311_1.123,E.12311,1.123,1,0,60,"Accés per Calàbria / Diputació"
PW.1.123_E.12311,1.123,E.12311,1,0,60,"Sortida per Calàbria / Diputació"
PW.E.12312_1.123,E.12312,1.123,1,0,60,"Accés per Calàbria / Sepúlveda"
PW.1.123_E.12312,1.123,E.12312,1,0,60,"Sortida per Calàbria / Sepúlveda"
PW.1.124_E.1012401,1.124,E.1012401,1,0,60,"Sortida per Comte d'Urgell"
PW.1.124_E.12401,1.124,E.12401,1,0,60,"Sortida per Comte d'Urgell"
PW.E.12401_1.124,E.12401,1.124,1,0,60,"Accés per Comte d'Urgell"
PW.E.1012401_1.124,E.1012401,1.124,1,0,60,"Accés per Comte d'Urgell"
PW.E.12411_1.124,E.12411,1.124,1,0,60,"Accés per Villarroel / Diputació"
PW.1.124_E.12411,1.124,E.12411,1,0,60,"Sortida per Villarroel / Diputació"
PW.1.124_E.12412,1.124,E.12412,1,0,60,"Sortida per Villarroel / Sepúlveda"
PW.E.12412_1.124,E.12412,1.124,1,0,60,"Accés per Villarroel / Sepúlveda"
PW.1.125_1.212,1.125,1.212,2,0,45,"Correspondència L1 - L2"
PW.1.125_E.12501,1.125,E.12501,1,0,60,"Sortida per Ronda Universitat"
PW.E.12501_1.125,E.12501,1.125,1,0,60,"Accés per Ronda Universitat"
PW.E.12502_1.125,E.12502,1.125,1,0,60,"Accés per Pelai"
PW.1.125_E.12502,1.125,E.12502,1,0,60,"Sortida per Pelai"
PW.1.126_1.326,1.126,1.326,2,0,45,"Correspondència L1 - L3"
PW.1.126_E.12601,1.126,E.12601,1,0,60,"Sortida per Rambla Catalunya"
PW.E.12601_1.126,E.12601,1.126,1,0,60,"Accés per Rambla Catalunya"
PW.1.126_E.1012602,1.126,E.1012602,1,0,60,"Sortida per Ronda Universitat"
PW.1.126_E.12602,1.126,E.12602,1,0,60,"Sortida per Ronda Universitat"
PW.E.12602_1.126,E.12602,1.126,1,0,60,"Accés per Ronda Universitat"
PW.E.1012602_1.126,E.1012602,1.126,1,0,60,"Accés per Ronda Universitat"
PW.E.12611_1.126,E.12611,1.126,1,0,60,"Accés per Passeig de Gràcia"
PW.1.126_E.12611,1.126,E.12611,1,0,60,"Sortida per Passeig de Gràcia"
PW.1.126_E.12612,1.126,E.12612,1,0,60,"Sortida per Ronda Sant Pere"
PW.E.12612_1.126,E.12612,1.126,1,0,60,"Accés per Ronda Sant Pere"
PW.E.12613_1.126,E.12613,1.126,1,0,60,"Accés per Centre Plaça"
PW.1.126_E.12613,1.126,E.12613,1,0,60,"Sortida per Centre Plaça"
PW.1.127_1.424,1.127,1.424,2,0,90,"Correspondència L1 - L4"
PW.E.12701_1.127,E.12701,1.127,1,0,60,"Accés per Plaça Urquinaona"
PW.1.127_E.12701,1.127,E.12701,1,0,60,"Sortida per Plaça Urquinaona"
PW.1.127_E.12711,1.127,E.12711,1,0,60,"Sortida per Trafalgar"
