route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1.1.1,L1,Hospital de Bellvitge - Fondo,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L1,CE1126,FFFFFF
1.2.1,L2,Paral·lel - Badalona Pompeu Fabra,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L2,93248F,FFFFFF
1.3.1,L3,Zona Universitària - Trinitat Nova,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L3,1EB53A,FFFFFF
1.4.1,L4,La Pau - Trinitat Nova,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L4,F7A30E,000000
1.5.1,L5,Cornellà Centre - Vall d'Hebron,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L5,005A97,FFFFFF
1.94.1,L9N,La Sagrera - Can Zam,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L9N,FB712B,FFFFFF
1.91.1,L9S,Aeroport T1 - Zona Universitària,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L9S,FB712B,FFFFFF
1.104.1,L10N,La Sagrera - Gorg,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L10N,00A6D6,FFFFFF
1.101.1,L10S,ZAL | Riu Vell - Collblanc,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L10S,00A6D6,FFFFFF
1.11.1,L11,Trinitat Nova - Can Cuiàs,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L11,89B94C,FFFFFF
1.99.1,FM,Paral·lel - Parc de Montjuïc,7,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/FM,004C38,FFFFFF
