trip_id,stop_a,stop_b,seq_a,seq_b
1.91.11426565,1.912,1.909,6,7
1.91.11426565,1.905,1.903,10,11
1.91.11426566,1.903,1.905,2,3
1.91.11426566,1.909,1.912,6,7
1.91.11426567,1.912,1.909,6,7
1.91.11426567,1.905,1.903,10,11
1.91.11426568,1.903,1.905,2,3
1.91.11426568,1.909,1.912,6,7
1.91.11426569,1.912,1.909,6,7
1.91.11426569,1.905,1.903,10,11
1.91.11426570,1.903,1.905,2,3
1.91.11426570,1.909,1.912,6,7
1.91.11426571,1.912,1.909,6,7
1.91.11426571,1.905,1.903,10,11
1.91.11426572,1.903,1.905,2,3
1.91.11426572,1.909,1.912,6,7
1.91.11426608,1.903,1.905,2,3
1.91.11426608,1.909,1.912,6,7
1.91.11426609,1.912,1.909,6,7
1.91.11426609,1.905,1.903,10,11
1.91.11426685,1.903,1.905,2,3
1.91.11426685,1.909,1.912,6,7
1.91.11426686,1.912,1.909,6,7
1.91.11426686,1.905,1.903,10,11
1.91.11426687,1.903,1.905,2,3
1.91.11426687,1.909,1.912,6,7
1.91.11426688,1.912,1.909,6,7
1.91.11426688,1.905,1.903,10,11
1.91.11426689,1.903,1.905,2,3
1.91.11426689,1.909,1.912,6,7
1.91.11426690,1.912,1.909,6,7
1.91.11426690,1.905,1.903,10,11
1.91.11426691,1.903,1.905,2,3
1.91.11426691,1.909,1.912,6,7
1.91.11426692,1.912,1.909,6,7
1.91.11426728,1.912,1.909,6,7
1.91.11426728,1.905,1.903,10,11
1.91.11426729,1.903,1.905,2,3
1.91.11426729,1.909,1.912,6,7
1.91.11426730,1.912,1.909,6,7
1.91.11426730,1.905,1.903,10,11
1.91.11426731,1.903,1.905,2,3
1.91.11426731,1.909,1.912,6,7
1.91.11426732,1.912,1.909,6,7
1.91.11426732,1.905,1.903,10,11
1.91.11426733,1.903,1.905,2,3
1.91.11426733,1.909,1.912,6,7
1.91.11426734,1.912,1.909,6,7
1.91.11426734,1.905,1.903,10,11
