from_stop_id,to_stop_id,weight_seconds,line
1.111,1.112,110,L1
1.112,1.111,114,L1
1.112,1.113,121,L1
1.113,1.112,123,L1
1.113,1.114,91,L1
1.114,1.113,86,L1
1.114,1.115,80,L1
1.115,1.114,80,L1
1.115,1.116,81,L1
1.116,1.115,83,L1
1.116,1.117,79,L1
1.117,1.116,83,L1
1.117,1.118,113,L1
1.118,1.117,116,L1
1.118,1.119,107,L1
1.119,1.118,91,L1
1.119,1.120,80,L1
1.120,1.119,79,L1
1.120,1.121,74,L1
1.121,1.120,70,L1
1.121,1.122,77,L1
1.122,1.121,87,L1
1.122,1.123,99,L1
1.123,1.122,88,L1
1.123,1.124,79,L1
1.124,1.123,80,L1
1.124,1.125,83,L1
1.125,1.124,101,L1
1.125,1.126,77,L1
1.126,1.125,89,L1
1.126,1.127,95,L1
1.127,1.126,83,L1
1.127,1.128,90,L1
1.128,1.127,86,L1
1.128,1.129,84,L1
1.129,1.128,78,L1
1.129,1.130,103,L1
1.130,1.129,105,L1
1.130,1.131,104,L1
1.131,1.130,111,L1
1.131,1.132,96,L1
1.132,1.131,84,L1
1.132,1.133,95,L1
1.133,1.132,110,L1
1.133,1.134,128,L1
1.134,1.133,126,L1
1.134,1.135,134,L1
1.135,1.134,124,L1
1.135,1.136,93,L1
1.136,1.135,112,L1
1.136,1.137,110,L1
1.137,1.136,98,L1
1.137,1.138,87,L1
1.138,1.137,86,L1
1.138,1.139,99,L1
1.139,1.138,107,L1
1.139,1.140,106,L1
1.140,1.139,111,L1
1.210,1.211,117,L2
1.211,1.210,122,L2
1.211,1.212,79,L2
1.212,1.211,84,L2
1.212,1.213,86,L2
1.213,1.212,96,L2
1.213,1.214,115,L2
1.214,1.213,105,L2
1.214,1.215,114,L2
1.215,1.214,105,L2
1.215,1.216,97,L2
1.216,1.215,106,L2
1.216,1.217,138,L2
1.217,1.216,134,L2
1.217,1.218,70,L2
1.218,1.217,76,L2
1.218,1.219,100,L2
1.219,1.218,108,L2
1.219,1.220,76,L2
1.220,1.219,74,L2
1.220,1.221,93,L2
1.221,1.220,89,L2
1.221,1.222,112,L2
1.222,1.221,112,L2
1.222,1.223,108,L2
1.223,1.222,108,L2
1.223,1.224,121,L2
1.224,1.223,129,L2
1.224,1.225,86,L2
1.225,1.224,83,L2
1.225,1.226,99,L2
1.226,1.225,81,L2
1.226,1.227,112,L2
1.227,1.226,113,L2
1.314,1.315,102,L3
1.315,1.314,99,L3
1.315,1.316,90,L3
1.316,1.315,93,L3
1.316,1.317,98,L3
1.317,1.316,99,L3
1.317,1.318,97,L3
1.318,1.317,96,L3
1.318,1.319,86,L3
1.319,1.318,88,L3
1.319,1.320,78,L3
1.320,1.319,91,L3
1.320,1.321,94,L3
1.321,1.320,93,L3
1.321,1.322,93,L3
1.322,1.321,94,L3
1.322,1.323,93,L3
1.323,1.322,98,L3
1.323,1.324,100,L3
1.324,1.323,93,L3
1.324,1.325,92,L3
1.325,1.324,93,L3
1.325,1.326,96,L3
1.326,1.325,98,L3
1.326,1.327,95,L3
1.327,1.326,106,L3
1.327,1.328,97,L3
1.328,1.327,97,L3
1.328,1.329,109,L3
1.329,1.328,116,L3
1.329,1.330,77,L3
1.330,1.329,82,L3
1.330,1.331,102,L3
1.331,1.330,125,L3
1.331,1.332,101,L3
1.332,1.331,113,L3
1.332,1.333,104,L3
1.333,1.332,104,L3
1.333,1.334,103,L3
1.334,1.333,91,L3
1.334,1.335,95,L3
1.335,1.334,95,L3
1.335,1.336,101,L3
1.336,1.335,101,L3
1.336,1.337,106,L3
1.337,1.336,111,L3
1.337,1.338,122,L3
1.338,1.337,122,L3
1.338,1.339,123,L3
1.339,1.338,121,L3
1.413,1.414,106,L4
1.414,1.413,108,L4
1.414,1.415,83,L4
1.415,1.414,86,L4
1.415,1.416,77,L4
1.416,1.415,74,L4
1.416,1.417,71,L4
1.417,1.416,71,L4
1.417,1.418,92,L4
1.418,1.417,88,L4
1.418,1.419,92,L4
1.419,1.418,84,L4
1.419,1.420,87,L4
1.420,1.419,85,L4
1.420,1.421,140,L4
1.421,1.420,144,L4
1.421,1.422,104,L4
1.422,1.421,100,L4
1.422,1.423,99,L4
1.423,1.422,91,L4
1.423,1.424,82,L4
1.424,1.423,81,L4
1.424,1.425,94,L4
1.425,1.424,98,L4
1.425,1.426,91,L4
1.426,1.425,96,L4
1.426,1.427,105,L4
1.427,1.426,101,L4
1.427,1.428,108,L4
1.428,1.427,108,L4
1.428,1.429,93,L4
1.429,1.428,98,L4
1.429,1.430,105,L4
1.430,1.429,111,L4
1.430,1.431,102,L4
1.431,1.430,124,L4
1.431,1.432,192,L4
1.432,1.431,194,L4
1.432,1.433,109,L4
1.433,1.432,106,L4
1.433,1.434,92,L4
1.434,1.433,91,L4
1.509,1.510,104,L5
1.510,1.509,103,L5
1.510,1.511,107,L5
1.511,1.510,98,L5
1.511,1.512,92,L5
1.512,1.511,93,L5
1.512,1.513,98,L5
1.513,1.512,103,L5
1.513,1.514,102,L5
1.514,1.513,104,L5
1.514,1.555,100,L5
1.555,1.514,104,L5
1.555,1.515,65,L5
1.515,1.555,66,L5
1.515,1.516,90,L5
1.516,1.515,88,L5
1.516,1.517,91,L5
1.517,1.516,85,L5
1.517,1.518,101,L5
1.518,1.517,94,L5
1.518,1.519,100,L5
1.519,1.518,96,L5
1.519,1.520,90,L5
1.520,1.519,90,L5
1.520,1.521,98,L5
1.521,1.520,107,L5
1.521,1.522,111,L5
1.522,1.521,101,L5
1.522,1.523,99,L5
1.523,1.522,108,L5
1.523,1.524,107,L5
1.524,1.523,110,L5
1.524,1.525,99,L5
1.525,1.524,88,L5
1.525,1.526,119,L5
1.526,1.525,129,L5
1.526,1.527,94,L5
1.527,1.526,120,L5
1.527,1.528,79,L5
1.528,1.527,81,L5
1.528,1.529,85,L5
1.529,1.528,95,L5
1.529,1.530,95,L5
1.530,1.529,99,L5
1.530,1.531,103,L5
1.531,1.530,101,L5
1.531,1.532,109,L5
1.532,1.531,98,L5
1.532,1.533,100,L5
1.533,1.532,107,L5
1.533,1.534,110,L5
1.534,1.533,105,L5
1.901,1.903,268,L9S
1.903,1.901,276,L9S
1.903,1.904,113,L9S
1.904,1.903,109,L9S
1.904,1.905,146,L9S
1.905,1.904,150,L9S
1.905,1.906,111,L9S
1.906,1.905,110,L9S
1.906,1.907,114,L9S
1.907,1.906,117,L9S
1.907,1.909,177,L9S
1.909,1.907,180,L9S
1.909,1.910,130,L9S
1.910,1.909,126,L9S
1.910,1.911,145,L9S
1.911,1.910,147,L9S
1.911,1.912,135,L9S
1.912,1.911,141,L9S
1.912,1.913,97,L9S
1.913,1.912,95,L9S
1.913,1.9140,100,L9S
1.9140,1.913,97,L9S
1.9140,1.9150,112,L9S
1.9150,1.9140,113,L9S
1.9150,1.9160,100,L9S
1.9160,1.9150,167,L9S
1.9160,1.918,129,L9S
1.918,1.9160,126,L9S
1.9300,1.9320,183,L9N
1.9320,1.9300,152,L9N
1.9320,1.9330,149,L9N
1.9330,1.9320,148,L9N
1.9330,1.940,124,L9N
1.940,1.9330,134,L9N
1.940,1.941,94,L9N
1.941,1.940,92,L9N
1.941,1.942,111,L9N
1.942,1.941,107,L9N
1.942,1.943,95,L9N
1.943,1.942,96,L9N
1.943,1.944,99,L9N
1.944,1.943,99,L9N
1.944,1.945,131,L9N
1.945,1.944,122,L9N
1.951,1.952,141,L10S
1.952,1.951,127,L10S
1.952,1.953,130,L10S
1.953,1.952,111,L10S
1.953,1.954,144,L10S
1.954,1.953,122,L10S
1.954,1.956,188,L10S
1.956,1.954,172,L10S
1.956,1.957,116,L10S
1.957,1.956,94,L10S
1.957,1.958,114,L10S
1.958,1.957,93,L10S
1.958,1.959,121,L10S
1.959,1.958,100,L10S
1.959,1.9141,112,L10S
1.9141,1.959,82,L10S
1.9141,1.9151,112,L10S
1.9151,1.9141,113,L10S
1.9151,1.9161,100,L10S
1.9161,1.9151,170,L10S
1.9301,1.9321,183,L10N
1.9321,1.9301,152,L10N
1.9321,1.9331,149,L10N
1.9331,1.9321,148,L10N
1.9331,1.934,126,L10N
1.934,1.9331,135,L10N
1.934,1.935,94,L10N
1.935,1.934,95,L10N
1.935,1.936,129,L10N
1.936,1.935,130,L10N
1.1136,1.1137,79,L11
