from_stop_id,to_stop_id,weight_seconds,type
1.111,1.112,110,SW
1.111,E.1011101,60,PW
1.111,E.11101,60,PW
1.112,1.111,114,SW
1.112,1.113,121,SW
1.112,E.1011201,60,PW
1.112,E.11201,60,PW
1.112,E.11202,60,PW
1.112,E.11211,60,PW
1.112,E.11212,60,PW
1.113,1.112,123,SW
1.113,1.114,91,SW
1.113,E.11301,60,PW
1.113,E.11311,60,PW
1.114,1.113,86,SW
1.114,1.115,80,SW
1.114,E.1011403,60,PW
1.114,E.11401,60,PW
1.114,E.11402,60,PW
1.114,E.11403,60,PW
1.115,1.114,80,SW
1.115,1.116,81,SW
1.115,E.1011502,60,PW
1.115,E.11501,60,PW
1.115,E.11502,60,PW
1.116,1.115,83,SW
1.116,1.117,79,SW
1.116,E.1011601,60,PW
1.116,E.11601,60,PW
1.116,E.11602,60,PW
1.117,1.116,83,SW
1.117,1.118,113,SW
1.117,1.9150,45,TF
1.117,1.9151,45,TF
1.117,E.1011711,60,PW
1.117,E.11711,60,PW
1.117,E.11712,60,PW
1.118,1.117,116,SW
1.118,1.119,107,SW
1.118,E.11801,60,PW
1.118,E.11811,60,PW
1.119,1.118,91,SW
1.119,1.120,80,SW
1.119,E.11901,60,PW
1.120,1.119,79,SW
1.120,1.121,74,SW
1.120,1.517,210,TF
1.120,E.12001,60,PW
1.120,E.12002,60,PW
1.120,E.12003,60,PW
1.120,E.12011,60,PW
1.120,E.12012,60,PW
1.121,1.120,70,SW
1.121,1.122,77,SW
1.121,E.1012101,60,PW
1.121,E.12101,60,PW
1.121,E.12111,60,PW
1.121,E.12121,60,PW
1.121,E.12131,60,PW
1.122,1.121,87,SW
1.122,1.123,99,SW
1.122,1.321,180,TF
1.122,E.1012201,60,PW
1.122,E.12201,60,PW
1.122,E.12202,60,PW
1.122,E.12211,60,PW
1.122,E.12212,60,PW
1.123,1.122,88,SW
1.123,1.124,79,SW
1.123,E.1012301,60,PW
1.123,E.12301,60,PW
1.123,E.12302,60,PW
1.123,E.12311,60,PW
1.123,E.12312,60,PW
1.124,1.123,80,SW
1.124,1.125,83,SW
1.124,E.1012401,60,PW
1.124,E.12401,60,PW
1.124,E.12411,60,PW
1.124,E.12412,60,PW
1.125,1.124,101,SW
1.125,1.126,77,SW
1.125,1.212,45,TF
1.125,E.12501,60,PW
1.125,E.12502,60,PW
1.126,1.125,89,SW
1.126,1.127,95,SW
1.126,1.326,45,TF
1.126,E.1012602,60,PW
1.126,E.12601,60,PW
1.126,E.12602,60,PW
1.126,E.12611,60,PW
1.126,E.12612,60,PW
1.126,E.12613,60,PW
1.127,1.126,83,SW
1.127,1.128,90,SW
1.127,1.424,90,TF
1.127,E.12701,60,PW
1.127,E.12711,60,PW
1.127,E.12721,60,PW
1.128,1.127,86,SW
1.128,1.129,84,SW
1.128,E.1012801,60,PW
1.128,E.12801,60,PW
1.128,E.12811,60,PW
1.128,E.12812,60,PW
1.129,1.128,78,SW
1.129,1.130,103,SW
1.129,E.1012901,60,PW
1.129,E.12901,60,PW
1.129,E.12902,60,PW
1.130,1.129,105,SW
1.130,1.131,104,SW
1.130,E.1013011,60,PW
1.130,E.13001,60,PW
1.130,E.13002,60,PW
1.130,E.13011,60,PW
