source_name,target_name,proportion,source_id,target_id,a_star_iterations,path_vertices,optimum_weight,path
L5-Diagonal,L9N-Can Zam,0.03112,1.521,1.945,482,15,1611,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L5-Hospital Clínic,L9N-Can Zam,0.03119,1.520,1.945,513,16,1709,1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L5-Verdaguer,L9N-Can Zam,0.03182,1.522,1.945,440,14,1500,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L3-Diagonal,L9N-Can Zam,0.03206,1.328,1.945,499,16,1731,1.328 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L5-Entença,L9N-Can Zam,0.03208,1.519,1.945,530,17,1799,1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L4-Verdaguer,L9N-Can Zam,0.03268,1.427,1.945,459,15,1545,1.427 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L5-Plaça de Sants,L9N-Can Zam,0.03270,1.517,1.945,581,19,2000,1.517 -> 1.518 -> 1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L1-Plaça de Sants,L9N-Can Zam,0.03279,1.120,1.945,610,20,2210,1.120 -> 1.517 -> 1.518 -> 1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L5-Sants Estació,L9N-Can Zam,0.03285,1.518,1.945,548,18,1899,1.518 -> 1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L4-Girona,L9N-Can Zam,0.03326,1.426,1.945,481,16,1650,1.426 -> 1.427 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L1-Plaça de Sants,L9N-Singuerlín,0.03333,1.120,1.944,570,19,2079,1.120 -> 1.517 -> 1.518 -> 1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944
L3-Fontana,L9N-Can Zam,0.03366,1.329,1.945,505,17,1847,1.329 -> 1.328 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L5-Badal,L9N-Can Zam,0.03367,1.516,1.945,594,20,2091,1.516 -> 1.517 -> 1.518 -> 1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L5-Entença,L9N-Singuerlín,0.03383,1.519,1.944,473,16,1668,1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944
