source_name,target_name,proportion,source_id,target_id,a_star_iterations,path_vertices,optimum_weight,path
L4-Passeig de Gràcia,L3-Canyelles,0.03822,1.425,1.337,314,12,1295,1.425 -> 1.327 -> 1.328 -> 1.329 -> 1.330 -> 1.331 -> 1.332 -> 1.333 -> 1.334 -> 1.335 -> 1.336 -> 1.337
L1-Glòries,L3-Canyelles,0.03889,1.130,1.337,360,14,1419,1.130 -> 1.131 -> 1.132 -> 1.133 -> 1.526 -> 1.527 -> 1.528 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.339 -> 1.338 -> 1.337
L2-Tetuan,L3-Canyelles,0.03927,1.214,1.337,331,13,1400,1.214 -> 1.213 -> 1.327 -> 1.328 -> 1.329 -> 1.330 -> 1.331 -> 1.332 -> 1.333 -> 1.334 -> 1.335 -> 1.336 -> 1.337
L3-Catalunya,L11-Trinitat Nova,0.03989,1.326,1.1136,351,14,1389,1.326 -> 1.327 -> 1.328 -> 1.521 -> 1.522 -> 1.427 -> 1.428 -> 1.429 -> 1.430 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.1136
L3-Passeig de Gràcia,L1-Fondo,0.03989,1.327,1.140,376,15,1548,1.327 -> 1.328 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.140
L1-Catalunya,L11-Trinitat Nova,0.04023,1.126,1.1136,348,14,1396,1.126 -> 1.127 -> 1.424 -> 1.425 -> 1.426 -> 1.427 -> 1.428 -> 1.429 -> 1.430 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.1136
L2-Passeig de Gràcia,L3-Canyelles,0.04027,1.213,1.337,298,12,1295,1.213 -> 1.327 -> 1.328 -> 1.329 -> 1.330 -> 1.331 -> 1.332 -> 1.333 -> 1.334 -> 1.335 -> 1.336 -> 1.337
L4-Girona,L3-Canyelles,0.04040,1.426,1.337,297,12,1269,1.426 -> 1.427 -> 1.428 -> 1.429 -> 1.430 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.339 -> 1.338 -> 1.337
L2-Tetuan,L3-Valldaura,0.04054,1.214,1.336,296,12,1294,1.214 -> 1.213 -> 1.327 -> 1.328 -> 1.329 -> 1.330 -> 1.331 -> 1.332 -> 1.333 -> 1.334 -> 1.335 -> 1.336
L1-Plaça de Sants,L9N-Fondo,0.04087,1.120,1.942,416,17,1885,1.120 -> 1.517 -> 1.518 -> 1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942
L1-Plaça de Sants,L3-Roquetes,0.04116,1.120,1.338,413,17,1739,1.120 -> 1.517 -> 1.518 -> 1.519 -> 1.520 -> 1.521 -> 1.328 -> 1.329 -> 1.330 -> 1.331 -> 1.332 -> 1.333 -> 1.334 -> 1.335 -> 1.336 -> 1.337 -> 1.338
L2-Passeig de Gràcia,L5-El Carmel,0.04135,1.213,1.532,266,11,1147,1.213 -> 1.327 -> 1.328 -> 1.329 -> 1.330 -> 1.331 -> 1.332 -> 1.333 -> 1.534 -> 1.533 -> 1.532
L3-Diagonal,L1-Fondo,0.04142,1.328,1.140,338,14,1451,1.328 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.140
L5-Sants Estació,L1-Fondo,0.04178,1.518,1.140,383,16,1619,1.518 -> 1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.140
L3-Liceu,L11-Trinitat Nova,0.04178,1.325,1.1136,359,15,1485,1.325 -> 1.326 -> 1.327 -> 1.328 -> 1.521 -> 1.522 -> 1.427 -> 1.428 -> 1.429 -> 1.430 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.1136
