source_name,target_name,proportion,source_id,target_id,a_star_iterations,path_vertices,optimum_weight,path
L5-Hospital Clínic,L9N-Can Zam,0.11940,1.520,1.945,134,16,1709,1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L5-Verdaguer,L9N-Can Zam,0.12069,1.522,1.945,116,14,1500,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L5-Diagonal,L9N-Can Zam,0.12097,1.521,1.945,124,15,1611,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L5-Entença,L9N-Can Zam,0.12319,1.519,1.945,138,17,1799,1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L5-Sants Estació,L9N-Can Zam,0.12414,1.518,1.945,145,18,1899,1.518 -> 1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L5-Plaça de Sants,L9N-Can Zam,0.12667,1.517,1.945,150,19,2000,1.517 -> 1.518 -> 1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L4-Verdaguer,L9N-Can Zam,0.12712,1.427,1.945,118,15,1545,1.427 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L1-Plaça de Sants,L9N-Església Major,0.12766,1.120,1.943,141,18,1980,1.120 -> 1.517 -> 1.518 -> 1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943
L3-Diagonal,L9N-Can Zam,0.12800,1.328,1.945,125,16,1731,1.328 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L1-Plaça de Sants,L9N-Can Zam,0.12821,1.120,1.945,156,20,2210,1.120 -> 1.517 -> 1.518 -> 1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L1-Plaça de Sants,L9N-Singuerlín,0.12838,1.120,1.944,148,19,2079,1.120 -> 1.517 -> 1.518 -> 1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944
L5-Entença,L9N-Singuerlín,0.12903,1.519,1.944,124,16,1668,1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944
L5-Badal,L9N-Can Zam,0.12987,1.516,1.945,154,20,2091,1.516 -> 1.517 -> 1.518 -> 1.519 -> 1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L4-Girona,L9N-Can Zam,0.13008,1.426,1.945,123,16,1650,1.426 -> 1.427 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
