source_name,target_name,proportion,source_id,target_id,a_star_iterations,path_vertices,optimum_weight,path
L4-Verdaguer,L3-Canyelles,0.55000,1.427,1.337,20,11,1164,1.427 -> 1.428 -> 1.429 -> 1.430 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.339 -> 1.338 -> 1.337
L3-Paral·lel,L1-Catalunya,0.55556,1.323,1.126,9,5,333,1.323 -> 1.324 -> 1.325 -> 1.326 -> 1.126
L4-Girona,L3-Canyelles,0.57143,1.426,1.337,21,12,1269,1.426 -> 1.427 -> 1.428 -> 1.429 -> 1.430 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.339 -> 1.338 -> 1.337
L5-Maragall,L5-Verdaguer,0.58333,1.528,1.522,12,7,636,1.528 -> 1.431 -> 1.430 -> 1.429 -> 1.428 -> 1.427 -> 1.522
L3-Poble Sec,L1-Catalunya,0.60000,1.322,1.126,10,6,426,1.322 -> 1.323 -> 1.324 -> 1.325 -> 1.326 -> 1.126
L3-Paral·lel,L1-Urquinaona,0.60000,1.323,1.127,10,6,428,1.323 -> 1.324 -> 1.325 -> 1.326 -> 1.126 -> 1.127
L5-Maragall,L5-Diagonal,0.61538,1.528,1.521,13,8,737,1.528 -> 1.431 -> 1.430 -> 1.429 -> 1.428 -> 1.427 -> 1.522 -> 1.521
L5-Virrei Amat,L5-Verdaguer,0.61538,1.529,1.522,13,8,731,1.529 -> 1.528 -> 1.431 -> 1.430 -> 1.429 -> 1.428 -> 1.427 -> 1.522
L3-Poble Sec,L1-Urquinaona,0.63636,1.322,1.127,11,7,521,1.322 -> 1.323 -> 1.324 -> 1.325 -> 1.326 -> 1.126 -> 1.127
L3-Paral·lel,L1-Arc de Triomf,0.63636,1.323,1.128,11,7,518,1.323 -> 1.324 -> 1.325 -> 1.326 -> 1.126 -> 1.127 -> 1.128
L5-Maragall,L3-Diagonal,0.64286,1.528,1.328,14,9,857,1.528 -> 1.431 -> 1.430 -> 1.429 -> 1.428 -> 1.427 -> 1.522 -> 1.521 -> 1.328
L5-Maragall,L5-Hospital Clínic,0.64286,1.528,1.520,14,9,844,1.528 -> 1.431 -> 1.430 -> 1.429 -> 1.428 -> 1.427 -> 1.522 -> 1.521 -> 1.520
L5-Virrei Amat,L5-Diagonal,0.64286,1.529,1.521,14,9,832,1.529 -> 1.528 -> 1.431 -> 1.430 -> 1.429 -> 1.428 -> 1.427 -> 1.522 -> 1.521
L5-Vilapicina,L5-Verdaguer,0.64286,1.530,1.522,14,9,830,1.530 -> 1.529 -> 1.528 -> 1.431 -> 1.430 -> 1.429 -> 1.428 -> 1.427 -> 1.522
L1-Torrassa,L5-Collblanc,0.66667,1.117,1.515,6,4,265,1.117 -> 1.9150 -> 1.9160 -> 1.515
L3-Poble Sec,L1-Arc de Triomf,0.66667,1.322,1.128,12,8,611,1.322 -> 1.323 -> 1.324 -> 1.325 -> 1.326 -> 1.126 -> 1.127 -> 1.128
L3-Paral·lel,L1-Marina,0.66667,1.323,1.129,12,8,602,1.323 -> 1.324 -> 1.325 -> 1.326 -> 1.126 -> 1.127 -> 1.128 -> 1.129
L5-Maragall,L3-Passeig de Gràcia,0.66667,1.528,1.327,15,10,954,1.528 -> 1.431 -> 1.430 -> 1.429 -> 1.428 -> 1.427 -> 1.522 -> 1.521 -> 1.328 -> 1.327
L5-Maragall,L3-Fontana,0.66667,1.528,1.329,15,10,966,1.528 -> 1.431 -> 1.430 -> 1.429 -> 1.428 -> 1.427 -> 1.522 -> 1.521 -> 1.328 -> 1.329
L5-Maragall,L5-Entença,0.66667,1.528,1.519,15,10,934,1.528 -> 1.431 -> 1.430 -> 1.429 -> 1.428 -> 1.427 -> 1.522 -> 1.521 -> 1.520 -> 1.519
L5-Virrei Amat,L3-Diagonal,0.66667,1.529,1.328,15,10,952,1.529 -> 1.528 -> 1.431 -> 1.430 -> 1.429 -> 1.428 -> 1.427 -> 1.522 -> 1.521 -> 1.328
L5-Virrei Amat,L5-Hospital Clínic,0.66667,1.529,1.520,15,10,939,1.529 -> 1.528 -> 1.431 -> 1.430 -> 1.429 -> 1.428 -> 1.427 -> 1.522 -> 1.521 -> 1.520
L5-Vilapicina,L5-Diagonal,0.66667,1.530,1.521,15,10,931,1.530 -> 1.529 -> 1.528 -> 1.431 -> 1.430 -> 1.429 -> 1.428 -> 1.427 -> 1.522 -> 1.521
L5-Horta,L5-Verdaguer,0.66667,1.531,1.522,15,10,931,1.531 -> 1.530 -> 1.529 -> 1.528 -> 1.431 -> 1.430 -> 1.429 -> 1.428 -> 1.427 -> 1.522
L9S-Can Tries | Gornal,L10S-Collblanc,0.66667,1.9140,1.9161,6,4,227,1.9140 -> 1.9150 -> 1.9151 -> 1.9161
L10S-Can Tries | Gornal,L9S-Collblanc,0.66667,1.9141,1.9160,6,4,227,1.9141 -> 1.9140 -> 1.9150 -> 1.9160
L9N-La Sagrera,L10N-Bon Pastor,0.66667,1.9300,1.9331,6,4,347,1.9300 -> 1.9320 -> 1.9321 -> 1.9331
L10N-La Sagrera,L9N-Bon Pastor,0.66667,1.9301,1.9330,6,4,347,1.9301 -> 1.9300 -> 1.9320 -> 1.9330
L9N-Bon Pastor,L10N-La Sagrera,0.66667,1.9330,1.9301,6,4,315,1.9330 -> 1.9320 -> 1.9321 -> 1.9301
L10N-Bon Pastor,L9N-La Sagrera,0.66667,1.9331,1.9300,6,4,315,1.9331 -> 1.9330 -> 1.9320 -> 1.9300
L5-Maragall,L5-Sants Estació,0.68750,1.528,1.518,16,11,1030,1.528 -> 1.431 -> 1.430 -> 1.429 -> 1.428 -> 1.427 -> 1.522 -> 1.521 -> 1.520 -> 1.519 -> 1.518
