source_name,target_name,proportion,source_id,target_id,cut_iterations,path_vertices,optimum_weight,path
L5-Verdaguer,L10N-Llefià,0.07627,1.522,1.934,118,9,972,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934
L5-Diagonal,L10N-Llefià,0.07752,1.521,1.934,129,10,1083,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934
L5-Verdaguer,L10N-La Salut,0.07752,1.522,1.935,129,10,1066,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934 -> 1.935
L5-Verdaguer,L9N-Can Peixauet,0.07759,1.522,1.940,116,9,970,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940
L5-Diagonal,L9N-Can Peixauet,0.07812,1.521,1.940,128,10,1081,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940
L5-Verdaguer,L9N-Santa Rosa,0.07812,1.522,1.941,128,10,1064,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941
L5-Diagonal,L10N-La Salut,0.07857,1.521,1.935,140,11,1177,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934 -> 1.935
L5-Verdaguer,L9N-Fondo,0.07857,1.522,1.942,140,11,1175,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942
L5-Sagrada Família,L9N-Fondo,0.07874,1.523,1.942,127,10,1076,1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942
L5-Diagonal,L9N-Santa Rosa,0.07914,1.521,1.941,139,11,1175,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941
L5-Sagrada Família,L10N-La Salut,0.08036,1.523,1.935,112,9,967,1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934 -> 1.935
L5-Verdaguer,L9N-Bon Pastor,0.08081,1.522,1.9330,99,8,846,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330
L5-Hospital Clínic,L10N-Llefià,0.08088,1.520,1.934,136,11,1181,1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934
L5-Diagonal,L10N-Bon Pastor,0.08108,1.521,1.9331,111,9,957,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331
L5-Verdaguer,L9N-Església Major,0.08108,1.522,1.943,148,12,1270,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943
L5-Sagrada Família,L9N-Santa Rosa,0.08108,1.523,1.941,111,9,965,1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941
L5-Hospital Clínic,L9N-Can Peixauet,0.08148,1.520,1.940,135,11,1179,1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940
L5-Sagrada Família,L9N-Església Major,0.08148,1.523,1.943,135,11,1171,1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943
L5-Diagonal,L9N-Fondo,0.08163,1.521,1.942,147,12,1286,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942
L5-Verdaguer,L10N-Bon Pastor,0.08163,1.522,1.9331,98,8,846,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331
L5-Sagrada Família,L10N-Llefià,0.08163,1.523,1.934,98,8,873,1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934
L5-Diagonal,L9N-Bon Pastor,0.08182,1.521,1.9330,110,9,957,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330
L4-Verdaguer,L3-Roquetes,0.08197,1.427,1.338,122,10,1042,1.427 -> 1.428 -> 1.429 -> 1.430 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.339 -> 1.338
L4-Verdaguer,L3-Canyelles,0.08209,1.427,1.337,134,11,1164,1.427 -> 1.428 -> 1.429 -> 1.430 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.339 -> 1.338 -> 1.337
L5-Hospital Clínic,L10N-La Salut,0.08219,1.520,1.935,146,12,1275,1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934 -> 1.935
L5-Sagrada Família,L9N-Can Peixauet,0.08247,1.523,1.940,97,8,871,1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940
L5-Hospital Clínic,L10N-Bon Pastor,0.08264,1.520,1.9331,121,10,1055,1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331
L4-Verdaguer,L11-Torre Baró | Vallbona,0.08271,1.427,1.1138,133,11,1145,1.427 -> 1.428 -> 1.429 -> 1.430 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.1136 -> 1.1137 -> 1.1138
L5-Hospital Clínic,L9N-Santa Rosa,0.08276,1.520,1.941,145,12,1273,1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941
L4-Verdaguer,L10N-Llefià,0.08333,1.427,1.934,120,10,1017,1.427 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934
L5-Hospital Clínic,L9N-Bon Pastor,0.08333,1.520,1.9330,120,10,1055,1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330
L5-Sagrada Família,L9N-Singuerlín,0.08333,1.523,1.944,144,12,1270,1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944
L5-Sant Pau | Dos de Maig,L3-Roquetes,0.08333,1.524,1.338,132,11,1175,1.524 -> 1.525 -> 1.526 -> 1.527 -> 1.528 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.339 -> 1.338
L5-Sant Pau | Dos de Maig,L9N-Església Major,0.08333,1.524,1.943,120,10,1064,1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943
L3-Diagonal,L10N-Llefià,0.08397,1.328,1.934,131,11,1203,1.328 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934
L5-Verdaguer,L3-Roquetes,0.08397,1.522,1.338,131,11,1087,1.522 -> 1.427 -> 1.428 -> 1.429 -> 1.430 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.339 -> 1.338
L5-Camp de l'Arpa,L3-Canyelles,0.08397,1.525,1.337,131,11,1198,1.525 -> 1.526 -> 1.527 -> 1.528 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.339 -> 1.338 -> 1.337
L4-Verdaguer,L9N-Can Peixauet,0.08403,1.427,1.940,119,10,1015,1.427 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940
L5-Verdaguer,L1-Torrassa,0.08403,1.522,1.117,119,10,984,1.522 -> 1.521 -> 1.520 -> 1.519 -> 1.518 -> 1.517 -> 1.120 -> 1.119 -> 1.118 -> 1.117
L5-Sant Pau | Dos de Maig,L10N-Gorg,0.08411,1.524,1.936,107,9,989,1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934 -> 1.935 -> 1.936
L5-Diagonal,L9N-Església Major,0.08442,1.521,1.943,154,13,1381,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943
L4-Verdaguer,L11-Ciutat Meridiana,0.08451,1.427,1.1139,142,12,1243,1.427 -> 1.428 -> 1.429 -> 1.430 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.1136 -> 1.1137 -> 1.1138 -> 1.1139
L5-Verdaguer,L1-Fondo,0.08451,1.522,1.140,142,12,1220,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.140
