source_name,target_name,proportion,source_id,target_id,cut_iterations,path_vertices,optimum_weight,path
L5-Verdaguer,L10N-Llefià,0.02036,1.522,1.934,442,9,972,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934
L5-Verdaguer,L10N-La Salut,0.02037,1.522,1.935,491,10,1066,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934 -> 1.935
L5-Verdaguer,L9N-Santa Rosa,0.02045,1.522,1.941,489,10,1064,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941
L5-Verdaguer,L9N-Can Peixauet,0.02059,1.522,1.940,437,9,970,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940
L5-Sagrada Família,L9N-Fondo,0.02062,1.523,1.942,485,10,1076,1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942
L5-Verdaguer,L9N-Fondo,0.02075,1.522,1.942,530,11,1175,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942
L5-Sagrada Família,L10N-La Salut,0.02079,1.523,1.935,433,9,967,1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934 -> 1.935
L5-Diagonal,L10N-Llefià,0.02079,1.521,1.934,481,10,1083,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934
L5-Diagonal,L9N-Can Peixauet,0.02083,1.521,1.940,480,10,1081,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940
L5-Sagrada Família,L9N-Santa Rosa,0.02083,1.523,1.941,432,9,965,1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941
L5-Diagonal,L10N-La Salut,0.02091,1.521,1.935,526,11,1177,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934 -> 1.935
L5-Diagonal,L9N-Santa Rosa,0.02095,1.521,1.941,525,11,1175,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941
L5-Diagonal,L10N-Bon Pastor,0.02098,1.521,1.9331,429,9,957,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331
L5-Diagonal,L9N-Bon Pastor,0.02103,1.521,1.9330,428,9,957,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330
L5-Diagonal,L9N-Fondo,0.02116,1.521,1.942,567,12,1286,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942
L5-Verdaguer,L9N-Bon Pastor,0.02122,1.522,1.9330,377,8,846,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330
L4-Verdaguer,L3-Roquetes,0.02123,1.427,1.338,471,10,1042,1.427 -> 1.428 -> 1.429 -> 1.430 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.339 -> 1.338
L5-Sagrada Família,L9N-Església Major,0.02124,1.523,1.943,518,11,1171,1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943
L5-Verdaguer,L9N-Església Major,0.02124,1.522,1.943,565,12,1270,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943
L5-Verdaguer,L10N-Bon Pastor,0.02128,1.522,1.9331,376,8,846,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331
L5-Hospital Clínic,L10N-Llefià,0.02136,1.520,1.934,515,11,1181,1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934
L5-Hospital Clínic,L9N-Can Peixauet,0.02140,1.520,1.940,514,11,1179,1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940
L4-Verdaguer,L3-Canyelles,0.02153,1.427,1.337,511,11,1164,1.427 -> 1.428 -> 1.429 -> 1.430 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.339 -> 1.338 -> 1.337
L5-Camp de l'Arpa,L3-Canyelles,0.02153,1.525,1.337,511,11,1198,1.525 -> 1.526 -> 1.527 -> 1.528 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.339 -> 1.338 -> 1.337
L5-Hospital Clínic,L10N-La Salut,0.02158,1.520,1.935,556,12,1275,1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934 -> 1.935
L5-Hospital Clínic,L9N-Santa Rosa,0.02162,1.520,1.941,555,12,1273,1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941
L5-Verdaguer,L1-Fondo,0.02162,1.522,1.140,555,12,1220,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.140
L5-Sagrada Família,L1-Fondo,0.02165,1.523,1.140,508,11,1121,1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.140
L4-Verdaguer,L11-Torre Baró | Vallbona,0.02170,1.427,1.1138,507,11,1145,1.427 -> 1.428 -> 1.429 -> 1.430 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.1136 -> 1.1137 -> 1.1138
L5-Sagrada Família,L9N-Singuerlín,0.02170,1.523,1.944,553,12,1270,1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944
L5-Hospital Clínic,L9N-Bon Pastor,0.02174,1.520,1.9330,460,10,1055,1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330
L5-Sagrada Família,L10N-Llefià,0.02174,1.523,1.934,368,8,873,1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934
L5-Sant Pau | Dos de Maig,L9N-Església Major,0.02179,1.524,1.943,459,10,1064,1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943
L5-Sagrada Família,L9N-Can Peixauet,0.02180,1.523,1.940,367,8,871,1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940
L5-Verdaguer,L9N-Singuerlín,0.02181,1.522,1.944,596,13,1369,1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944
L5-Hospital Clínic,L10N-Bon Pastor,0.02183,1.520,1.9331,458,10,1055,1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331
L5-Sant Pau | Dos de Maig,L10N-Gorg,0.02184,1.524,1.936,412,9,989,1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934 -> 1.935 -> 1.936
L5-Diagonal,L9N-Església Major,0.02185,1.521,1.943,595,13,1381,1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943
L5-Sant Pau | Dos de Maig,L3-Roquetes,0.02191,1.524,1.338,502,11,1175,1.524 -> 1.525 -> 1.526 -> 1.527 -> 1.528 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.339 -> 1.338
L5-Camp de l'Arpa,L9N-Can Zam,0.02191,1.525,1.945,502,11,1195,1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942 -> 1.943 -> 1.944 -> 1.945
L4-Verdaguer,L11-Ciutat Meridiana,0.02198,1.427,1.1139,546,12,1243,1.427 -> 1.428 -> 1.429 -> 1.430 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.1136 -> 1.1137 -> 1.1138 -> 1.1139
L5-Sagrada Família,L1-Torrassa,0.02200,1.523,1.117,500,11,1092,1.523 -> 1.522 -> 1.521 -> 1.520 -> 1.519 -> 1.518 -> 1.517 -> 1.120 -> 1.119 -> 1.118 -> 1.117
L5-Sant Pau | Dos de Maig,L11-Trinitat Nova,0.02203,1.524,1.1136,454,10,1054,1.524 -> 1.525 -> 1.526 -> 1.527 -> 1.528 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.1136
L5-Hospital Clínic,L9N-Fondo,0.02203,1.520,1.942,590,13,1384,1.520 -> 1.521 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9300 -> 1.9320 -> 1.9330 -> 1.940 -> 1.941 -> 1.942
L5-Sant Pau | Dos de Maig,L3-Trinitat Nova,0.02208,1.524,1.339,453,10,1054,1.524 -> 1.525 -> 1.526 -> 1.527 -> 1.528 -> 1.431 -> 1.432 -> 1.433 -> 1.434 -> 1.339
L4-Verdaguer,L10N-La Salut,0.02209,1.427,1.935,498,11,1111,1.427 -> 1.522 -> 1.523 -> 1.524 -> 1.525 -> 1.526 -> 1.9301 -> 1.9321 -> 1.9331 -> 1.934 -> 1.935
